,Coefficients,P-Values
const,7303.9476023760135,1.2537180697208117e-25
Security Consulting,967.6843487832381,5.105443821754031e-14
Startup Development,967.684348783238,5.105443821754054e-14
Public Speaking,967.684348783238,5.105443821754054e-14
cutting-edge technology,967.684348783238,5.105443821754054e-14
Management Consulting,967.684348783238,5.105443821754054e-14
Executive Positions,967.684348783238,5.105443821754054e-14
Innovation,967.684348783238,5.105443821754054e-14
Passionate about Work,967.684348783238,5.105443821754054e-14
Practice Development,967.684348783238,5.105443821754054e-14
Conferences,967.6843487832375,5.105443821754161e-14
Advertising,864.3011934973644,5.848888710424813e-13
Team Building,864.3011934973628,5.848888710425203e-13
Startups,864.3011934973628,5.848888710425203e-13
Enterprise Marketing,864.3011934973628,5.848888710425203e-13
Early-stage Startups,864.3011934973628,5.848888710425203e-13
Business Strategy,864.3011934973616,5.848888710425941e-13
Genetics,596.4034931749325,2.0159226549227677e-11
Equity Operations,596.4034931749325,2.0159226549227677e-11
Disabilities,596.4034931749325,2.0159226549227677e-11
Employment Discrimination,596.4034931749325,2.0159226549227677e-11
Expression,596.4034931749325,2.0159226549227677e-11
Sonar,596.4034931749325,2.0159226549227677e-11
Coloring,596.403493174932,2.0159226549227677e-11
Religion,596.4034931749325,2.0159226549227677e-11
Direct Recruiting,596.4034931749325,2.0159226549227677e-11
Good Communication Skills,596.4034931749325,2.0159226549227677e-11
Gender Studies,596.4034931749325,2.0159226549227677e-11
Continuing Education,596.403493174932,2.015922654922788e-11
work schedules,596.4034931749318,2.0159226549228446e-11
Background Checks,596.4034931749312,2.0159226549228728e-11
Culture,596.4034931749314,2.0159226549228934e-11
Cultural Diversity,654.6882296630035,5.30663464568579e-11
Trust,654.6882296630029,5.3066346456859156e-11
Lead and coach,654.6882296630029,5.3066346456859156e-11
build trust,654.6882296630029,5.3066346456859156e-11
application certification,654.6882296630029,5.3066346456859156e-11
People Development,654.6882296630029,5.3066346456859156e-11
Technical Product Support,654.6882296630029,5.3066346456859156e-11
Team Work,654.6882296630029,5.3066346456859156e-11
build teams,654.6882296630029,5.3066346456859156e-11
Subject Matter Expert,654.6882296630021,5.3066346456861495e-11
Achieving Results,654.6882296629972,5.306634645687545e-11
Program Management,1731.8888587983859,6.752035508115744e-11
MASSIVE,1283.9135554978793,6.685614289832568e-10
Information Retrieval,1283.9135554978793,6.685614289832568e-10
UI Design,1283.9135554978793,6.685614289832568e-10
Wearables,1283.9135554978793,6.685614289832568e-10
Production,1510.2195148104856,1.3077506156548625e-09
product feedback,1771.0727778030907,2.5595058813353895e-09
Team Leadership,1524.7654772883816,6.714604632860646e-09
Direct experience,1940.2754533052416,2.5880171144966158e-08
Office Software,-780.6224809940518,2.7972061823749875e-08
DocuSign,639.3391260890946,3.132880608620183e-08
Document Management,639.3391260890946,3.132880608620183e-08
Sales Management,639.3391260890946,3.132880608620183e-08
Motions,639.3391260890946,3.132880608620183e-08
Business Acumen,639.3391260890938,3.132880608620183e-08
Revenue Growth,639.3391260890946,3.132880608620183e-08
CRM,639.3391260890913,3.132880608620626e-08
PyTorch,1266.522231152435,3.2608658034212324e-08
iOS,-1830.3197288727433,3.400511610516544e-08
Concepts,1074.9903065875455,4.3239423185592225e-08
Iterative Design,1074.990306587545,4.323942318559363e-08
software tests,785.1416684819702,4.909333404067459e-08
software test cases,785.1416684819702,4.909333404067459e-08
Software Testing Life Cycle,785.1416684819702,4.909333404067459e-08
software test methodologies,785.1416684819702,4.909333404067459e-08
Automated Software Testing,785.1416684819709,4.909333404067591e-08
TensorFlow,1680.4874531444443,5.429027012335371e-08
Cloud,-2470.4854250276717,9.46653431485296e-08
Excellent Communication Skills,1970.2547570294437,1.1980941253525915e-07
Product Marketing,-558.0440939295584,1.2212190997922057e-07
Dynamics,-558.0440939295584,1.2212190997922057e-07
RabbitMQ,-2020.0281931435259,1.247828616695112e-07
Keras,865.512932660435,1.3743901451631464e-07
Structural Engineering,865.512932660435,1.3743901451631464e-07
Mentoring,865.512932660435,1.3743901451631464e-07
Payment Services,1923.2542393531173,1.3870240057868255e-07
Payment Solutions,1746.31278446684,1.5018151004331262e-07
system qualification,1746.31278446684,1.5018151004331262e-07
Product Development,1506.2898282195588,1.5830732502250331e-07
Agile Methodolgy,-1053.5049097660283,1.6348982995576075e-07
Apple iOS,-1053.5049097660255,1.6348982995577427e-07
Architectural History,609.5110535338665,3.45426970585527e-07
reusable solutions,609.5110535338521,3.4542697058614464e-07
